Team,W,L,W/L%,GB,PS/G,PA/G,SRS
NJN,47,35,0.573,—,90.3,87.8,1.88
MIA,42,40,0.512,5.0,90.3,89.7,-0.13
NYK,39,43,0.476,8.0,92.0,93.5,-1.97
BOS,36,46,0.439,11.0,95.3,96.7,-1.99
PHI,33,49,0.402,14.0,88.0,90.5,-2.95
WAS,25,57,0.305,22.0,91.8,97.4,-6.12
ORL,21,61,0.256,26.0,94.0,101.1,-7.25
IND,61,21,0.744,—,91.4,85.6,4.93
DET,54,28,0.659,7.0,90.1,84.3,5.04
NOH,41,41,0.5,20.0,91.8,91.9,-0.72
MIL,41,41,0.5,20.0,98.0,97.0,0.42
CLE,35,47,0.427,26.0,92.9,95.5,-3.07
TOR,33,49,0.402,28.0,85.4,88.5,-3.42
ATL,28,54,0.341,33.0,92.8,97.5,-5.00
CHI,23,59,0.28,38.0,89.7,96.0,-6.69
MIN,58,24,0.707,—,94.5,89.1,5.86
SAS,57,25,0.695,1.0,91.5,84.3,7.51
DAL,52,30,0.634,6.0,105.2,100.8,4.86
MEM,50,32,0.61,8.0,96.7,94.3,2.95
HOU,45,37,0.549,13.0,89.8,88.0,2.28
DEN,43,39,0.524,15.0,97.2,96.1,1.65
UTA,42,40,0.512,16.0,88.7,89.9,-0.53
LAL,56,26,0.683,—,98.2,94.3,4.35
SAC,55,27,0.671,1.0,102.8,97.8,5.41
POR,41,41,0.5,15.0,90.7,92.0,-0.58
GSW,37,45,0.451,19.0,93.3,94.0,-0.07
SEA,37,45,0.451,19.0,97.1,97.8,0.02
PHX,29,53,0.354,27.0,94.2,97.9,-2.94
LAC,28,54,0.341,28.0,94.8,99.4,-3.74
